station number,dates,site_name,water table depth
374425075400001,08/31,65K 27 SOW 114A,50.73
374425075400002,08/31,65K 28 SOW 114B,80.87
374425075400003,08/31,65K 29 SOW 114C,102.73
375635075271501,08/31,67M 10 SOW 115A,9.37
375635075271502,08/31,67M 11 SOW 115B,13.62
375635075271503,08/31,67M 12 SOW 115C,42.50
375635075271504,08/31,67M 13 SOW 115D,44.03
375635075271505,08/31,67M 62 SOW 115F,25.15
375723075344404,08/31,66M 19 SOW 110S,9.82
372053078493801,08/31,40G  3 SOW 229,1.35
382523078535501,08/31,38P  1 SOW 070,21.72
380252079472801,08/31,32N  2 SOW 217,8.58
372150079422301,08/31,33G  2 SOW 225,36.54
372224079423601,08/31,33G  1 SOW 224,11.03
372543079295402,08/31,35H 3 SOW 226A,15.16
372543079295403,08/31,35H 4 SOW 226B,9.56
364218078015701,08/31,46B  3 SOW 220,20.74
371841081584201,08/31,15G 19 SOW 222,21.31
372608078404601,08/31,41H  3,25.66
390348078035501,08/31,46W175,44.10
390743077504501,08/31,48X 20,34.65
390948078001601,08/31,46X125,32.41
372223080234801,08/31,27G  1 SOW 232,43.97
373146078161201,08/31,44J  1 SOW 227,33.06
385638077220101,08/31,52V  2D,16.20
384957077481701,08/31,48U 26 SOW 215,24.66
372621076404201,08/31,57H 20 SOW 192A,104.86
372621076404202,08/31,57H 21 SOW 192B,97.74
372621076404203,08/31,57H 22 SOW 192C,95.81
372621076404301,08/31,57H 32 SOW 192D,41.98
373737077083201,08/31,53K 19 SOW 080,16.82
373924077223001,08/31,52K 23 SOW 236A,176.51
373924077223002,08/31,52K 24 SOW 236B,176.23
373924077223003,08/31,52K 25 SOW 236C,11.55
363949076542602,08/31,55B 91 SOW 252A,107.22
363949076542603,08/31,55B 92 SOW 252B,148.99
363949076542604,08/31,55B 93 SOW 252C,141.29
363949076542605,08/31,55B 94 SOW 252D,29.46
363949076542606,08/31,55B 95 SOW 252E,29.40
363949076542607,08/31,55B 96 SOW 252F,29.40
363949076542608,08/31,55B 97 SOW 252G,22.00
363949076542609,08/31,55B 98 SOW 252H,4.05
364059076544901,08/31,55B 16,143.89
365841076364403,08/31,58D 37 SOW 243A,125.26
365841076364404,08/31,58D 38 SOW 243B,125.25
365841076364405,08/31,58D 39 SOW 243C,125.48
365841076364406,08/31,58D 40 SOW 243D,124.84
365841076364407,08/31,58D 41 SOW 243E,79.47
365841076364408,08/31,58D 42 SOW 243F,24.57
365841076364409,08/31,58D 43 SOW 243G,24.16
372145076493201,08/31,56G 57,188.44
372546076532901,08/31,55H 20,122.02
373008076425601,08/31,57J  3 SOW 074,162.94
373126076454101,08/31,56J 11 SOW 073,130.90
373235076482201,08/31,56J 48 SOW 247G,11.92
373235076482302,08/31,56J 42 SOW 247A,163.10
373235076482303,08/31,56J 43 SOW 247B,157.45
373235076482304,08/31,56J 44 SOW 247C,156.77
373235076482305,08/31,56J 45 SOW 247D,162.71
373235076482306,08/31,56J 45 SOW 247E,56.75
373235076482307,08/31,56J 47 SOW 247F,12.40
373523076523401,08/31,55J 15 SOW 248A,211.56
373523076523402,08/31,55J 16 SOW 248B,209.52
373523076523403,08/31,55J 17 SOW 248C,212.30
373523076523404,08/31,55J 18 SOW 248D,210.76
373523076523405,08/31,55J 19 SOW 248E,101.70
374441077121802,08/31,53K 25 SOW 235A,189.25
374441077121803,08/31,53K 26 SOW 235B,200.38
374441077121804,08/31,53K 27 SOW 235C,189.45
374441077121805,08/31,53K 28 SOW 235D,60.42
390623077314201,08/31,50W  4C,35.17
391542077423801,08/31,49Y  1 SOW 022,59.98
370812080261901,08/31,27F  2 SOW 019,6.51
372535076581301,08/31,55H 23 SOW 233A,114.79
372535076581302,08/31,55H 24 SOW 233B,111.16
372535076581303,08/31,55H 25 SOW 233C,111.13
372535076581304,08/31,55H 26 SOW 233D,109.86
372535076581305,08/31,55H 27 SOW 233E,32.33
372535076581306,08/31,55H 28 SOW 233F,11.56
372934076514601,08/31,56H 63 SOW 249,118.41
373054076584501,08/31,55J 20 SOW 228,96.90
373316077125202,08/31,53J 24 SOW 234A,213.29
373316077125203,08/31,53J 25 SOW 234B,212.54
371543076003401,08/31,62G 15 SOW 121,11.08
372705075555903,08/31,63H  6 SOW 103A,6.75
375006076183101,08/31,60L 37 SOW 230,65.76
371122078114401,08/31,45F  3 SOW 219,16.67
381002078094201,08/31,45P  1 SOW 030,30.94
364732080070301,08/31,30C  1 SOW 010,18.15
383423077245901,08/31,51S  7,11.30
385607077381101,08/31,49V  1,10.75
373758079271601,08/31,35K  1 SOW 063,25.18
382150078424001,08/31,41Q  1,79.22
364022082450201,08/31,08B  1 SOW 241,77.19
384821078472301,08/31,40U  3 SOW 218,14.24
363906077000301,08/31,54B 34 SOW 251C,110.13
363906077000302,08/31,54B 35 SOW 251D,17.14
363906077000403,08/31,54B 40 SOW 251A,120.21
363906077000404,08/31,54B 41 SOW 251B,114.90
363906077000405,08/31,54B 42 SOW 251E,15.21
363906077000406,08/31,54B 43 SOW 251F,14.91
363906077000407,08/31,54B 44 SOW 251G,3.34
364642077041602,08/31,54C 10 SOW 221A,109.97
364642077041603,08/31,54C 11 SOW 221B,97.73
364642077041604,08/31,54C 12 SOW 221C,21.17
364642077041605,08/31,54C 13 SOW 221D,12.22
370053076533901,08/31,55E  7 SOW 214A,128.77
370053076533902,08/31,55E  8 SOW 214B,128.54
370053076533903,08/31,55E  9 SOW 214C,128.53
370712076413203,08/31,57E 13 SOW 094C,8.57
371132076405501,08/31,57F 16 SOW 087A,86.31
371132076405502,08/31,57F 24 SOW 087B,83.38
365454077014402,08/31,54D  7 SOW 242A,129.42
365454077014403,08/31,54D  8 SOW 242B,128.97
365454077014404,08/31,54D  9 SOW 242C,124.27
365454077014405,08/31,54D 10 SOW 242D,124.80
365454077014406,08/31,54D 11 SOW 242E,124.36
365454077014407,08/31,54D 12 SOW 242F,16.12
365454077014408,08/31,54D 13 SOW 242G,10.78
365530077104002,08/31,53D  6 SOW 179A,81.16
365530077104006,08/31,53D 10 SOW 179E,64.42
365530077104007,08/31,53D 11 SOW 179F,65.00
370235077114001,08/31,53E  6 SOW 239A,98.22
370235077114002,08/31,53E  7 SOW 239B,97.53
370235077114003,08/31,53E  8 SOW 239C,88.38
370235077114004,08/31,53E  9 SOW 239D,25.35
381110076550501,08/31,55P  5,81.85
381132076551001,08/31,55P  9,9.20
370604082403901,08/31,09E 10 SOW 223,35.84
370841076275204,08/31,59F 74 SOW 184C,12.33
372156076431702,08/31,57G129 SOW 240A,133.29
372156076431703,08/31,57G130 SOW 240B,133.25
364619076274201,08/31,59C 54 SOW 250A,116.63
364619076274303,08/31,59C 55 SOW 250B,112.00
364852076252202,08/31,59C 30 SOW 163B,89.74
364852076252203,08/31,59C 31 SOW 163C,90.46
371644077244601,08/31,51G  1,15.14
364033076562602,08/31,55B 65 SOW 145B,121.37
364033076562603,08/31,55B 66 SOW 145C,136.63
365756076251201,08/31,59D 25 SOW 213,101.63
371040076351701,08/31,58F186 SOW 244,113.14
371208076341102,08/31,58F 51 SOW 171B,141.53
371208076341103,08/31,58F 52 SOW 171C,141.51
371208076341104,08/31,58F 53 SOW 171D,73.85
371208076341105,08/31,58F 54 SOW 171E,25.51
371208076341106,08/31,58F 55 SOW 171F,27.93
371653079552101,08/31,31G  1 SOW 008,18.95
363625076522602,08/31,56A 13 SOW 076B,179.09
363928076332901,08/31,58B 13,7.47
364010076351401,08/31,58B276 SOW 246,84.03
364344076360202,08/31,58B 284 SOW 253A,119.52
364512076343705,08/31,58C 56 SOW 162D,93.45
365133076351202,08/31,58C 58 SOW 141B,135.69
365133076351203,08/31,58C 59 SOW 141C,135.32
365337076251601,08/31,59D 34,106.79
365337076251602,08/31,59D 35,93.08
365337076251603,08/31,59D 36,
365337076251604,08/31,59D 37,59.74
365337076251607,08/31,59D 40,15.30
363337075595001,08/31,63A  1,14.57
363337075595002,08/31,63A  2,5.58
363714076063502,08/31,62A 23 SOW 209B,7.88
364126076003501,08/31,62B  1 SOW 098A,3.39
364126076013401,08/31,62B 18,7.38
364325076011501,08/31,62B 22,9.04
364352076005401,08/31,62B  9,6.45
364410076002801,08/31,62B 23,15.78
364504076031301,08/31,62C  5 SOW 093,5.60
364558076074401,08/31,61C 44 SOW 210B,8.70
364558076074501,08/31,61C 43 SOW 210A,8.32
364713076030701,08/31,62C  2 SOW 092A,11.90
364715076030801,08/31,62C  3 SOW 092B,8.99
364745076004302,08/31,62C 10 SOW 172B,12.77
364745076004303,08/31,62C 11 SOW 172C,7.70
364745076004304,08/31,62C 12 SOW 172D,6.78
364920076093201,08/31,61C 27 SOW 174A,7.44
364920076093202,08/31,61C 28 SOW 174B,9.71
365124075590701,08/31,63C 30,13.64
365124075590702,08/31,63C 31,13.72
365124075590703,08/31,63C 52,11.93
365150076051101,08/31,62C 73,27.40
365155076020201,08/31,62C 72,20.62
365256076032001,08/31,62D 22,25.43
365256076032002,08/31,62D 23,13.96
365307076055301,08/31,62D 24,36.92
365307076055302,08/31,62D 25,17.98
365411076071601,08/31,62D 20,8.26
365411076071602,08/31,62D 21,8.12
371614076415201,08/31,57G134 SOW 245,177.09
